rank,shirtnumber,name,team,stuff_blocks,faults,rebounds,total_attempts,average_per_set
1,14,Maja Aleksic,SRB,47,64,85,196,0.89
2,20,Ana Beatriz Correa,BRA,51,83,121,255,0.70
3,5,Agnieszka Kakolewska,POL,41,93,96,230,0.58
4,2,Nasya Dimitrova,BUL,31,94,117,242,0.57
5,10,Mira Todorova,BUL,31,85,112,228,0.57
6,18,Bethania De La Cruz De Peña,DOM,35,47,80,162,0.55
7,7,Juliet Lohuis,NED,30,59,83,172,0.53
8,18,Zehra Gunes,TUR,35,82,128,245,0.51
9,11,Louisa Lippmann,GER,27,28,46,101,0.51
10,13,Marlies Janssens,BEL,29,74,81,184,0.51
11,3,Lisvel Elisa Eve Mejia,DOM,32,71,69,172,0.50
12,22,Lisa Gründing,GER,26,53,100,179,0.49
13,21,Jineiry Martinez,DOM,31,74,105,210,0.48
14,17,Malwina Smarzek,POL,34,58,64,156,0.48
15,1,Xinyue Yuan,CHN,31,40,42,113,0.48
16,6,Kubra Caliskan,TUR,32,46,89,167,0.47
17,1,Angelina Lazarenko,RUS,25,67,65,157,0.46
18,22,Haleigh Washington,USA,33,41,62,136,0.45
19,24,Chiaka Ogbogu,USA,33,59,89,181,0.45
20,8,Candida Estefany Arias Perez,DOM,28,60,43,131,0.44
21,9,Magdalena Stysiak,POL,30,38,25,93,0.42
22,10,Gabriela Braga Guimaraes,BRA,29,59,71,159,0.40
23,3,Ekaterina Efimova,RUS,21,44,69,134,0.39
24,7,Celine Van Gestel,BEL,22,32,46,100,0.39
25,31,Eline Timmerman,NED,22,47,47,116,0.39
26,5,Pleumjit Thinkaow,THA,19,69,72,160,0.38
27,14,Marie Schölzel,GER,19,75,79,173,0.36
28,8,Kaja Grobelna,BEL,20,42,48,110,0.35
29,10,Cristina Chirichella,ITA,22,50,68,140,0.33
30,11,Anna Danesi,ITA,22,50,53,125,0.33
31,16,Lucia Bosetti,ITA,22,27,27,76,0.33
32,10,Dominika Sobolska,BEL,18,57,61,136,0.32
33,5,Ofelia Malinov,ITA,21,45,61,127,0.31
34,99,Ebrar Karakurt,TUR,21,44,57,122,0.31
35,6,Maja Savic,SRB,16,36,53,105,0.30
36,13,Sarah Luisa Fahr,ITA,20,44,66,130,0.30
37,22,Nicole Koolhaas,NED,17,24,33,74,0.30
38,20,Brayelin Elizabeth Martinez,DOM,19,52,38,109,0.30
39,7,Hande Baladin,TUR,20,14,13,47,0.29
40,6,Xiangyu Gong,CHN,18,32,33,83,0.28
41,9,Changning Zhang,CHN,18,25,21,64,0.28
42,1,Mara Ferreira Leao,BRA,20,78,86,184,0.27
43,18,Paola Ogechi Egonu,ITA,18,23,19,60,0.27
44,9,Meliha Ismailoglu,TUR,18,36,31,85,0.26
45,15,Malika Kanthong,THA,13,29,44,86,0.26
46,13,Mai Okumura,JPN,14,33,72,119,0.26
47,7,Tatiana Romanova,RUS,14,35,49,98,0.26
48,3,Cansu Özbay,TUR,17,40,44,101,0.25
49,19,Asli Kalac,TUR,17,31,48,96,0.25
50,6,Tetori Dixon,USA,18,43,62,123,0.25
51,17,Ni Yan,CHN,16,39,33,88,0.25
52,3,Britt Herbots,BEL,13,35,37,85,0.23
