rank,shirtnumber,name,team,digs,faults,receptions,total_attempts,average_per_set
1,1,Lenka Dürr,GER,186,48,67,301,3.51
2,15,Zhana Todorova,BUL,188,65,72,325,3.48
3,14,Mako Kobata,JPN,173,38,61,272,3.20
4,25,Larysmer Martinez Caro,DOM,174,51,67,292,2.72
5,7,Celine Van Gestel,BEL,153,41,46,240,2.68
6,6,Miroslava Paskova,BUL,143,25,42,210,2.65
7,19,Leia Henrique Da Silva Nicolosi,BRA,190,32,60,282,2.60
8,13,Nootsara Tomkom,THA,125,19,42,186,2.50
9,2,Simge Sebnem Akoz,TUR,168,43,60,271,2.47
10,6,Monica De Gennaro,ITA,165,37,45,247,2.46
11,7,Yuki Ishii,JPN,126,31,40,197,2.33
12,20,Jiyoung Oh,KOR,118,23,49,190,2.23
13,8,Maria Stenzel,POL,147,45,67,259,2.07
14,20,Brayelin Elizabeth Martinez,DOM,132,31,31,194,2.06
15,17,Megan Courtney,USA,150,43,48,241,2.05
16,1,Gergana Dimitrova,BUL,109,29,64,202,2.02
17,17,Ilka Van De Vyver,BEL,114,35,65,214,2.00
18,4,Daria Pilipenko,RUS,107,30,46,183,1.98
19,2,Katarina Lazovic,SRB,105,28,36,169,1.98
20,10,Gabriela Braga Guimaraes,BRA,144,23,62,229,1.97
21,9,Meliha Ismailoglu,TUR,130,32,46,208,1.91
22,16,Natalia Medrzyk,POL,131,30,47,208,1.85
23,5,Ofelia Malinov,ITA,123,13,39,175,1.84
24,15,Sohwi Kang,KOR,97,16,34,147,1.83
25,3,Britt Herbots,BEL,104,31,27,162,1.82
26,11,Louisa Lippmann,GER,96,21,36,153,1.81
27,7,Niverka Dharlenis Marte Frica,DOM,114,29,59,202,1.78
28,10,Yeon Koung Kim,KOR,94,11,31,136,1.77
29,15,Malika Kanthong,THA,88,21,34,143,1.76
30,15,Martyna Grajber,POL,124,38,37,199,1.75
31,4,Risa Shinnabe,JPN,94,18,35,147,1.74
32,19,Dayeong Lee,KOR,92,25,50,167,1.74
33,20,Jodie Guilliams,BEL,98,41,47,186,1.72
34,3,Macris Fernanda Silva Carneiro,BRA,123,36,51,210,1.68
35,2,Piyanut Pannoy,THA,84,20,42,146,1.68
36,4,Heejin Kim,KOR,89,28,43,160,1.68
37,6,Xiangyu Gong,CHN,109,26,32,167,1.68
38,8,Petya Barakova,BUL,90,31,54,175,1.67
39,12,Miya Sato,JPN,90,30,62,182,1.67
40,9,Myrthe Schoot,NED,93,33,37,163,1.63
41,18,Bethania De La Cruz De Peña,DOM,104,17,52,173,1.63
42,11,Yurie Nabeya,JPN,86,20,22,128,1.59
43,22,Tatiana Ezhak,RUS,83,29,50,162,1.54
44,99,Ebrar Karakurt,TUR,103,20,34,157,1.51
45,18,Ajcharaporn Kongyot,THA,75,19,42,136,1.50
46,17,Malwina Smarzek,POL,106,39,47,192,1.49
47,8,Kaja Grobelna,BEL,83,31,32,146,1.46
48,1,Indre Sorokaite,ITA,97,24,29,150,1.45
49,3,Lisvel Elisa Eve Mejia,DOM,92,21,49,162,1.44
50,16,Lucia Bosetti,ITA,96,10,27,133,1.43
51,6,Onuma Sittirak,THA,71,29,33,133,1.42
