rank,shirtnumber,name,team,excellents,faults,serve_receptions,total_attempts,efficiency_%
1,10,Gabriela Braga Guimaraes,BRA,161,21,289,471,29.72
2,2,Piyanut Pannoy,THA,69,11,141,221,26.24
3,19,Leia Henrique Da Silva Nicolosi,BRA,97,20,190,307,25.08
4,1,Lenka Dürr,GER,74,14,169,257,23.35
5,14,Mako Kobata,JPN,68,15,147,230,23.04
6,9,Meliha Ismailoglu,TUR,130,28,325,483,21.12
7,7,Yuki Ishii,JPN,49,12,155,216,17.13
8,19,Chatchu-On Moksri,THA,74,25,197,296,16.55
9,1,Gergana Dimitrova,BUL,68,20,220,308,15.58
10,15,Martyna Grajber,POL,81,18,327,426,14.79
11,18,Bethania De La Cruz De Peña,DOM,70,27,250,347,12.39
12,7,Celine Van Gestel,BEL,79,29,298,406,12.32
13,16,Natalia Medrzyk,POL,77,29,318,424,11.32
14,3,Britt Herbots,BEL,53,17,277,347,10.37
15,15,Sohwi Kang,KOR,48,20,211,279,10.04
16,22,Tatiana Ezhak,RUS,44,22,176,242,9.09
17,25,Larysmer Martinez Caro,DOM,44,21,200,265,8.68
18,15,Zhana Todorova,BUL,56,30,228,314,8.28
19,2,Seungju Pyo,KOR,50,26,219,295,8.14
20,6,Miroslava Paskova,BUL,44,18,356,418,6.22
21,2,Katarina Lazovic,SRB,40,25,244,309,4.85
22,20,Jodie Guilliams,BEL,50,37,197,284,4.58
23,17,Nicole Oude Luttikhuis,NED,36,27,186,249,3.61
24,14,Elena Pietrini,ITA,51,41,356,448,2.23
25,8,Kaja Grobelna,BEL,0,0,1,1,
26,10,Dominika Sobolska,BEL,0,0,2,2,
27,12,Dominika Strumilo,BEL,5,7,33,45,
28,17,Ilka Van De Vyver,BEL,0,3,2,5,
29,21,Manon Stragier,BEL,0,3,10,13,
30,22,Anna Valkenborg,BEL,3,2,23,28,
31,25,Britt Rampelberg,BEL,0,1,0,1,
32,1,Mara Ferreira Leao,BRA,4,1,1,6,
33,5,Ana Paula Borgo Bedani Guedes,BRA,1,0,0,1,
34,6,Julia Isabelle Bergmann,BRA,1,2,3,6,
35,9,Roberta Silva Ratzke,BRA,0,1,1,2,
36,11,Tainara Lemes Santos,BRA,7,10,30,47,
