rank,shirtnumber,name,team,attacks,blocks,serves,total
1,17,Malwina Smarzek,POL,376,34,11,421
2,99,Ebrar Karakurt,TUR,247,21,23,291
3,10,Gabriela Braga Guimaraes,BRA,241,29,8,278
4,20,Brayelin Elizabeth Martinez,DOM,235,19,4,258
5,18,Bethania De La Cruz De Peña,DOM,185,35,21,241
6,11,Andrea Drews,USA,205,16,14,235
7,3,Britt Herbots,BEL,205,13,13,231
8,11,Louisa Lippmann,GER,193,27,11,231
9,14,Elena Pietrini,ITA,199,8,16,223
10,1,Indre Sorokaite,ITA,169,12,24,205
11,8,Kaja Grobelna,BEL,166,20,12,198
12,1,Gergana Dimitrova,BUL,175,11,11,197
13,7,Yuki Ishii,JPN,177,8,8,193
14,9,Magdalena Stysiak,POL,146,30,16,192
15,4,Heejin Kim,KOR,169,4,12,185
16,5,Ana Paula Borgo Bedani Guedes,BRA,161,14,4,179
17,18,Paola Ogechi Egonu,ITA,143,18,18,179
18,9,Meliha Ismailoglu,TUR,146,18,13,177
19,6,Miroslava Paskova,BUL,154,9,9,172
20,20,Ana Beatriz Correa,BRA,110,51,9,170
21,18,Zehra Gunes,TUR,98,35,25,158
22,6,Xiangyu Gong,CHN,128,18,11,157
23,22,Tatiana Ezhak,RUS,135,5,15,155
24,16,Natalia Medrzyk,POL,128,12,8,148
25,24,Chiaka Ogbogu,USA,100,33,14,147
26,2,Katarina Lazovic,SRB,124,9,13,146
27,7,Celine Van Gestel,BEL,113,22,9,144
28,10,Yeon Koung Kim,KOR,124,8,12,144
29,18,Ajcharaporn Kongyot,THA,122,11,10,143
30,23,Kelsey Robinson,USA,110,12,18,140
31,1,Mara Ferreira Leao,BRA,103,20,11,134
32,15,Sohwi Kang,KOR,110,9,14,133
33,19,Chatchu-On Moksri,THA,122,4,7,133
34,21,Jineiry Martinez,DOM,89,31,12,132
35,5,Agnieszka Kakolewska,POL,85,41,5,131
36,13,Marlies Janssens,BEL,77,29,24,130
37,2,Nasya Dimitrova,BUL,92,31,6,129
38,19,Yanhan Liu,CHN,115,7,7,129
39,5,Pleumjit Thinkaow,THA,99,19,11,129
40,12,Hanna Orthmann,GER,108,5,14,127
41,7,Juliet Lohuis,NED,71,30,24,125
42,11,Margarita Kurilo,RUS,109,12,4,125
43,16,Ai Kurogo,JPN,116,2,6,124
44,18,Kseniia Parubets,RUS,115,5,4,124
45,6,Kubra Caliskan,TUR,78,32,13,123
46,13,Ana Bjelica,SRB,103,7,10,120
47,1,Xinyue Yuan,CHN,79,31,9,119
48,2,Ting Zhu,CHN,106,9,4,119
49,12,Jordan Thompson,USA,102,11,6,119
50,2,Seungju Pyo,KOR,100,6,7,113
51,6,Onuma Sittirak,THA,103,5,4,112
52,16,Lucia Bosetti,ITA,80,22,8,110
53,10,Mira Todorova,BUL,69,31,8,108
54,23,Gaila Ceneida Gonzalez Lopez,DOM,88,10,10,108
55,14,Maja Aleksic,SRB,50,47,11,108
56,15,Malika Kanthong,THA,82,13,11,106
57,12,Gözde Yilmaz,TUR,85,11,8,104
