rank,shirtnumber,name,team,aces,faults,hits,total_attempts,average_per_set
1,13,Marlies Janssens,BEL,24,31,135,190,0.42
2,7,Juliet Lohuis,NED,24,13,160,197,0.42
3,18,Zehra Gunes,TUR,25,23,193,241,0.37
4,1,Indre Sorokaite,ITA,24,40,115,179,0.36
5,99,Ebrar Karakurt,TUR,23,42,115,180,0.34
6,18,Bethania De La Cruz De Peña,DOM,21,26,176,223,0.33
7,9,Juah Lee,KOR,15,20,111,146,0.28
8,22,Tatiana Ezhak,RUS,15,23,130,168,0.28
9,18,Paola Ogechi Egonu,ITA,18,28,60,106,0.27
10,12,Hanna Orthmann,GER,14,30,76,120,0.26
11,15,Sohwi Kang,KOR,14,18,134,166,0.26
12,12,Yingying Li,CHN,17,7,91,115,0.26
13,23,Kelsey Robinson,USA,18,15,111,144,0.25
14,17,Nicole Oude Luttikhuis,NED,14,16,83,113,0.25
15,2,Katarina Lazovic,SRB,13,10,113,136,0.25
16,14,Elena Pietrini,ITA,16,32,170,218,0.24
17,3,Britt Herbots,BEL,13,25,129,167,0.23
18,4,Heejin Kim,KOR,12,20,111,143,0.23
19,10,Yeon Koung Kim,KOR,12,13,91,116,0.23
20,9,Magdalena Stysiak,POL,16,45,94,155,0.23
21,5,Pleumjit Thinkaow,THA,11,12,105,128,0.22
22,15,Malika Kanthong,THA,11,17,85,113,0.22
23,8,Kaja Grobelna,BEL,12,14,137,163,0.21
24,17,Ilka Van De Vyver,BEL,12,14,168,194,0.21
25,11,Louisa Lippmann,GER,11,34,101,146,0.21
26,14,Marie Schölzel,GER,11,11,119,141,0.21
27,5,Mina Popovic,SRB,11,9,79,99,0.21
28,14,Maja Aleksic,SRB,11,33,93,137,0.21
29,3,Macris Fernanda Silva Carneiro,BRA,15,12,205,232,0.21
30,1,Gergana Dimitrova,BUL,11,12,163,186,0.20
31,4,Risa Shinnabe,JPN,11,8,124,143,0.20
32,16,Xia Ding,CHN,13,5,94,112,0.20
33,18,Ajcharaporn Kongyot,THA,10,14,88,112,0.20
34,3,Klaudia Alagierska,POL,14,8,116,138,0.20
35,11,Andrea Drews,USA,14,30,113,157,0.19
36,24,Chiaka Ogbogu,USA,14,19,153,186,0.19
37,6,Kubra Caliskan,TUR,13,14,121,148,0.19
38,9,Meliha Ismailoglu,TUR,13,23,179,215,0.19
39,6,Jennifer Janiska,GER,10,10,117,137,0.19
40,22,Lisa Gründing,GER,10,16,138,164,0.19
41,14,Eunjin Park,KOR,10,9,101,120,0.19
42,13,Ana Bjelica,SRB,10,10,66,86,0.19
43,21,Jineiry Martinez,DOM,12,32,123,167,0.19
44,1,Angelina Lazarenko,RUS,10,16,143,169,0.19
45,14,Michelle Bartsch-Hackley,USA,13,6,90,109,0.18
46,19,Dayeong Lee,KOR,9,10,139,158,0.17
47,8,Sladjana Mirkovic,SRB,9,13,84,106,0.17
48,20,Jelena Blagojevic,SRB,9,2,71,82,0.17
49,6,Xiangyu Gong,CHN,11,4,164,179,0.17
50,1,Julia Nowicka,POL,12,10,128,150,0.17
51,6,Miroslava Paskova,BUL,9,19,149,177,0.17
52,7,Tatiana Romanova,RUS,9,13,110,132,0.17
53,3,Cansu Özbay,TUR,11,24,183,218,0.16
54,7,Celine Van Gestel,BEL,9,16,134,159,0.16
55,23,Gaila Ceneida Gonzalez Lopez,DOM,10,9,78,97,0.16
56,17,Malwina Smarzek,POL,11,8,192,211,0.15
57,1,Mara Ferreira Leao,BRA,11,18,169,198,0.15
58,8,Petya Barakova,BUL,8,8,135,151,0.15
59,10,Mira Todorova,BUL,8,19,153,180,0.15
60,7,Yuki Ishii,JPN,8,10,132,150,0.15
61,11,Yurie Nabeya,JPN,8,8,114,130,0.15
62,3,Lisvel Elisa Eve Mejia,DOM,9,14,139,162,0.14
63,11,Anne Buijs,NED,8,6,54,68,0.14
64,10,Wilavan Apinyapong,THA,7,3,36,46,0.14
65,19,Chatchu-On Moksri,THA,7,22,103,132,0.14
