rank,shirtnumber,name,team,running_sets,faults,still_sets,total_attempts,average_per_set
1,13,Nootsara Tomkom,THA,334,9,798,1141,6.68
2,12,Miya Sato,JPN,315,11,826,1152,5.83
3,3,Cansu Özbay,TUR,351,18,991,1360,5.16
4,17,Ilka Van De Vyver,BEL,287,12,1058,1357,5.04
5,3,Macris Fernanda Silva Carneiro,BRA,358,9,1007,1374,4.90
6,7,Niverka Dharlenis Marte Frica,DOM,302,19,1267,1588,4.72
7,14,Laura Dijkema,NED,255,8,681,944,4.47
8,19,Dayeong Lee,KOR,230,9,912,1151,4.34
9,5,Ofelia Malinov,ITA,283,15,898,1196,4.22
10,7,Tatiana Romanova,RUS,218,17,809,1044,4.04
11,8,Petya Barakova,BUL,210,19,800,1029,3.89
12,3,Denise Hanke,GER,192,8,625,825,3.62
13,7,Lauren Carlini,USA,195,4,558,757,2.67
14,7,Lora Kitipova,BUL,131,10,411,552,2.43
15,16,Xia Ding,CHN,143,6,366,515,2.20
16,8,Sladjana Mirkovic,SRB,115,7,510,632,2.17
17,2,Pia Kästner,GER,112,9,356,477,2.11
18,2,Jordyn Poulter,USA,153,3,357,513,2.10
19,1,Julia Nowicka,POL,147,7,541,695,2.07
20,12,Britt Bongaerts,NED,109,5,264,378,1.91
21,11,Di Yao,CHN,124,4,500,628,1.91
22,14,Joanna Wolosz,POL,127,3,378,508,1.79
23,11,Ezgi Dilik,TUR,121,2,351,474,1.78
24,8,Alessia Orro,ITA,119,6,341,466,1.78
25,20,Marlena Kowalewska,POL,119,14,531,664,1.68
26,3,Linyu Diao,CHN,92,4,271,367,1.42
27,1,Micha Hancock,USA,100,3,243,346,1.37
28,9,Roberta Silva Ratzke,BRA,96,6,300,402,1.32
29,25,Nanami Seki,JPN,67,6,247,320,1.24
30,23,Mila Djordjevic,SRB,59,8,325,392,1.11
31,3,Carli Lloyd,USA,64,2,177,243,0.88
32,24,Aleksandra Cirovic,SRB,44,4,176,224,0.83
33,13,Denise Imoudu,GER,39,3,116,158,0.74
34,5,Hyo Hee Lee,KOR,33,1,90,124,0.62
35,4,Emilija Zakic,SRB,33,2,148,183,0.62
36,21,Gullapa Piampongsan,THA,31,1,122,154,0.62
37,26,Sarah Van Aalen,NED,34,0,124,158,0.60
38,6,Hyejin An,KOR,29,2,147,178,0.55
39,27,Polina Matveeva,RUS,29,4,178,211,0.54
40,15,Zhana Todorova,BUL,20,1,191,212,0.37
41,12,Daria Ryseva,RUS,19,2,143,164,0.35
42,6,Haruka Miyashita,JPN,18,1,45,64,0.33
43,15,Jutta Van De Vyver,BEL,15,3,83,101,0.26
44,2,Piyanut Pannoy,THA,13,0,110,123,0.26
45,5,Pleumjit Thinkaow,THA,10,0,35,45,0.20
46,4,Daria Pilipenko,RUS,10,1,57,68,0.19
47,6,Onuma Sittirak,THA,9,2,26,37,0.18
48,12,Yokaty Perez Flores,DOM,11,6,56,73,0.17
49,6,Monica De Gennaro,ITA,11,1,159,171,0.16
50,2,Elise Van Sas,BEL,7,1,72,80,0.12
51,16,Lucia Bosetti,ITA,8,3,49,60,0.12
52,2,Simge Sebnem Akoz,TUR,8,4,94,106,0.12
53,17,Malwina Smarzek,POL,8,1,30,39,0.11
54,7,Celine Van Gestel,BEL,6,3,35,44,0.11
55,20,Jodie Guilliams,BEL,6,1,86,93,0.11
56,1,Lenka Dürr,GER,5,1,124,130,0.09
57,6,Miroslava Paskova,BUL,5,0,32,37,0.09
58,14,Mako Kobata,JPN,5,0,141,146,0.09
59,16,Ai Kurogo,JPN,5,0,22,27,0.09
