name,birthdate,height,weight,spike,block,world_championships,olympic_games,other,total,club,team,position
Xinyue Yuan,21/12/1996,201,78,317,311,24,8,50,82,Tianjin,CHN,Middle blocker
Ting Zhu,29/11/1994,198,78,327,300,24,8,62,94,Henan,CHN,Outside Hitter
Linyu Diao,07/04/1994,182,69,309,303,0,0,0,0,Jiangsu,CHN,Setter
Hanyu Yang,12/10/1999,192,72,317,311,12,0,0,12,Shandong,CHN,Middle blocker
Mingyuan Hu,17/05/1996,187,69,305,297,12,0,0,12,Liaoning,CHN,Middle blocker
Xiangyu Gong,21/04/1997,186,72,313,302,12,8,15,35,Jiangsu,CHN,Opposite spiker
Yuanyuan Wang,14/07/1997,195,75,312,300,0,0,0,0,Tianjin,CHN,Middle blocker
Chunlei Zeng,03/11/1989,187,67,315,315,24,5,120,149,Beijing,CHN,Opposite spiker
Changning Zhang,06/11/1995,193,80,315,303,0,0,43,43,Jiangsu,CHN,Outside Hitter
"Xiaotong Liu
c",16/02/1990,188,80,312,300,24,8,70,102,Beijing,CHN,Outside Hitter
Di Yao,15/08/1992,182,65,306,298,0,0,10,10,Tianjin,CHN,Setter
Yingying Li,19/02/2000,192,71,302,294,12,0,0,12,Tianjin,CHN,Outside Hitter
Yan Sun,06/07/2001,188,68,308,295,0,0,0,0,Jiangsu,CHN,Setter
Yixin Zheng,06/05/1995,187,71,316,307,0,0,47,47,Fujian,CHN,Middle blocker
Li Lin,05/07/1992,171,65,294,294,24,8,52,84,Fujian,CHN,Libero
Xia Ding,13/01/1990,180,67,305,300,12,8,58,78,Liaoning,CHN,Setter
Ni Yan,02/03/1987,192,74,317,306,12,8,79,99,Liaoning,CHN,Middle blocker
Mengjie Wang,14/11/1995,172,65,289,280,12,0,30,42,Shandong,CHN,Libero
Yanhan Liu,19/01/1993,188,75,315,305,0,0,30,30,Liaoning,CHN,Outside Hitter
Fang Duan,26/12/1994,186,73,301,296,0,0,0,0,Liaoning,CHN,Outside Hitter
Feifan Ni,14/02/2001,175,67,271,265,0,0,0,0,Jiangsu,CHN,Libero
Qingqing Du,18/12/1996,189,72,312,300,0,0,0,0,Shandong,CHN,Opposite spiker
Yichan Zhang,11/02/1991,187,76,318,307,0,0,0,0,Shanghai,CHN,Outside Hitter
Ye Jin,01/03/1996,187,77,310,302,0,0,0,0,Beijing,CHN,Outside Hitter
Wenhan Che,11/04/2000,193,67,305,297,0,0,0,0,Shandong,CHN,Outside Hitter
Bieke Kindt,11/02/2000,191,74,302,284,0,0,1,1,VC Oudegem,BEL,Middle blocker
Elise Van Sas,01/08/1997,188,74,308,290,0,0,42,42,VC Oudegem,BEL,Setter
Britt Herbots,24/09/1999,182,63,312,292,0,0,84,84,Novara,BEL,Outside Hitter
Nathalie Lemmens,12/03/1995,192,85,130,292,0,0,83,83,Paris,BEL,Middle blocker
Laura Heyrman,17/05/1993,186,74,310,280,9,0,100,109,Hitachi Rivale,BEL,Middle blocker
Laure Flament,18/06/1998,182,76,295,282,0,0,19,19,VDK Gent Dames,BEL,Outside Hitter
Celine Van Gestel,07/11/1997,183,70,310,284,0,0,102,102,Firenze,BEL,Outside Hitter
Kaja Grobelna,04/01/1995,188,72,325,299,0,0,100,100,Chieri,BEL,Opposite spiker
Freya Aelbrecht,10/02/1990,186,82,308,282,0,0,131,131,Kurobe Airies,BEL,Middle blocker
Dominika Sobolska,03/12/1991,187,83,309,292,0,0,36,36,Targoviste,BEL,Middle blocker
Iris Vandewiele,07/03/1994,189,71,295,286,0,0,15,15,VDK Gent Dames,BEL,Middle blocker
Dominika Strumilo,26/12/1996,187,63,311,292,9,0,54,63,Sariyer,BEL,Outside Hitter
Marlies Janssens,04/06/1997,193,79,312,299,0,0,65,65,Asterix AVO Beveren,BEL,Middle blocker
Jutta Van De Vyver,11/06/1996,173,72,299,277,0,0,18,18,Asterix AVO Beveren,BEL,Setter
Karolina Goliat,25/10/1996,189,79,308,295,0,0,45,45,Saint-Raphael VAR,BEL,Opposite spiker
"Ilka Van De Vyver
c",26/01/1993,180,79,296,273,9,0,154,163,Targoviste,BEL,Setter
Oriane Moulin,18/02/2000,181,63,303,287,0,0,6,6,Modal Charleroi,BEL,Setter
Silke Van Avermaet,02/06/1999,192,76,314,298,0,0,35,35,Asterix AVO Beveren,BEL,Middle blocker
Jodie Guilliams,26/04/1997,180,73,305,289,0,0,70,70,Vilsbiburg,BEL,Outside Hitter
Manon Stragier,12/03/1999,182,69,301,283,0,0,35,35,Asterix Avo Beveren,BEL,Outside Hitter
Anna Valkenborg,04/01/1998,174,59,290,270,0,0,20,20,Datovoc Tongeren,BEL,Libero
Felice Vanassche,20/07/2000,185,71,300,285,0,0,0,0,VC Oudegem,BEL,Outside Hitter
Britt Rampelberg,05/06/2000,165,58,283,269,0,0,11,11,Asterix AVO Beveren,BEL,Libero
Charlotte Krenicky,29/06/2000,189,80,295,279,0,0,0,0,Ladies Volley Limburg,BEL,Setter
Britt Ruysschaert,27/05/1994,180,60,302,281,0,0,51,51,Antwerp,BEL,Libero
Mara Ferreira Leao,26/07/1991,190,84,320,301,0,0,2,2,Minas Tenis Clube,BRA,Middle blocker
Macris Fernanda Silva Carneiro,03/03/1989,178,64,292,275,0,0,2,2,Minas Tenis Clube,BRA,Setter
Lara Nobre Cardoso G Filomeno,11/02/1989,185,69,306,290,0,0,0,0,Fluminense Football Club,BRA,Middle blocker
Ana Paula Borgo Bedani Guedes,20/10/1993,187,76,305,290,0,0,0,0,Osasco Voleibol Clube,BRA,Opposite spiker
Julia Isabelle Bergmann,21/02/2001,196,78,301,289,2,0,3,5,Abel Brusque,BRA,Outside Hitter
Juma Da Silva,17/01/1993,179,65,295,285,0,0,0,0,Sesc Flamengo,BRA,Setter
Roberta Silva Ratzke,28/04/1990,185,71,287,278,0,0,0,0,Osasco,BRA,Setter
Gabriela Braga Guimaraes,19/05/1994,180,65,305,289,2,1,6,9,Vakifbank,BRA,Outside Hitter
Tainara Lemes Santos,09/03/2000,190,81,306,289,3,0,2,5,Hinode Barueri,BRA,Outside Hitter
"Natalia Pereira
c",04/04/1989,186,83,311,295,2,2,6,10,Dinamo Moscow,BRA,Outside Hitter
Amanda Francisco,16/08/1988,180,62,304,286,0,0,1,1,Rexona-Ades,BRA,Outside Hitter
Josefa Fabiola Almeida De Sousa Alves,03/02/1983,184,70,300,285,8,0,49,57,Volero Zürich,BRA,Setter
Ana Carolina Da Silva,08/04/1991,183,73,290,290,0,0,0,0,Praia Clube,BRA,Middle blocker
Tandara Caixeta,30/10/1988,184,87,305,297,0,0,28,28,Osasco Voleibol Clube,BRA,Outside Hitter
Suelen Pinto,04/10/1987,166,81,256,238,0,0,19,19,Praia Clube,BRA,Libero
Leia Henrique Da Silva Nicolosi,01/03/1985,160,60,275,269,0,1,4,5,Minas Tenis Clube,BRA,Libero
Ana Beatriz Correa,07/02/1992,187,70,298,292,22,0,8,30,Osasco Voleibol Clube,BRA,Middle blocker
Maira Cipriano Claro,07/03/1995,187,62,300,278,0,0,0,0,E.C. PINHEIROS,BRA,Outside Hitter
Lana Silva Conceição,08/12/1996,178,74,305,288,0,0,0,0,Minas Tenis Clube,BRA,Outside Hitter
Edinara Brancher,01/02/1996,186,80,295,285,0,0,0,0,SÃO CAETANO,BRA,Outside Hitter
Lorenne Geraldo Teixeira,08/01/1996,187,72,306,289,0,0,0,0,Sesc Flamengo,BRA,Opposite spiker
Milka Marcília Medeiros Silva,18/07/1994,190,75,307,291,0,0,0,0,Hinode/Barueri,BRA,Middle blocker
Natália Araujo,10/04/1997,162,59,228,215,0,0,0,0,Hinode Barueri,BRA,Libero
Lais Vasques,12/02/1996,171,70,275,274,0,0,0,0,Minas T.C.,BRA,Libero
Mayany Cristina Araujo De Souza,24/11/1996,185,72,293,282,0,0,0,0,Osasco,BRA,Middle blocker
"Gergana Dimitrova
c",28/02/1996,184,71,305,288,0,0,0,0,Volero Le Cannet,BUL,Outside Hitter
Nasya Dimitrova,06/11/1992,190,70,305,290,0,0,0,0,Maritza,BUL,Middle blocker
Kristiana Petrova,13/07/1997,177,70,290,282,0,0,0,0,Levski,BUL,Outside Hitter
Maria Dancheva,04/12/1995,195,73,314,302,1,0,0,1,Maritza,BUL,Opposite spiker
Simona Dimitrova,17/07/1994,185,82,290,280,0,0,0,0,TFSE,BUL,Outside Hitter
Miroslava Paskova,16/02/1996,180,67,299,280,0,0,0,0,Levski,BUL,Outside Hitter
Lora Kitipova,19/05/1991,184,66,290,283,0,0,0,0,Maritza,BUL,Setter
Petya Barakova,18/06/1994,180,76,283,271,0,0,0,0,Alba Blaj,BUL,Setter
Monika Krasteva,09/05/1999,183,64,292,285,0,0,0,0,Levski,BUL,Outside Hitter
Mira Todorova,12/04/1994,187,73,312,300,0,0,0,0,Volero Le Cannet,BUL,Middle blocker
Gergana Georgieva,15/10/1998,176,61,289,272,0,0,0,0,Levski,BUL,Setter
Mariya Karakasheva,27/10/1988,182,68,295,290,0,0,0,0,CSKA,BUL,Outside Hitter
Mirela Shahpazova,28/10/1997,175,65,280,270,0,0,16,16,Maritza,BUL,Setter
Aleksandra Milanova,04/07/2001,180,72,295,284,0,0,0,0,Slavia,BUL,Outside Hitter
Zhana Todorova,06/01/1997,170,56,271,255,0,0,0,0,Maritza,BUL,Libero
Elitsa Vasileva,13/05/1990,190,73,302,290,0,0,0,0,Scandici,BUL,Outside Hitter
Elena Becheva,30/05/1998,185,70,296,288,0,0,0,0,Levski,BUL,Opposite spiker
Silvana Chausheva,19/05/1995,188,75,305,290,0,0,0,0,Maritza,BUL,Outside Hitter
Radostina Marinova,02/10/1998,186,65,299,288,0,0,0,0,Kazanlak,BUL,Opposite spiker
Mariya Krivoshiyska,06/09/2001,186,58,293,285,0,0,0,0,Kazanlak Volley,BUL,Middle blocker
Denitsa Dimitrova,26/03/1999,189,70,299,280,0,0,0,0,Levski,BUL,Middle blocker
Dima Usheva,16/12/2000,192,73,300,280,0,0,0,0,Maritza,BUL,Middle blocker
Vangeliya Rachkovska,19/07/1997,185,67,296,281,0,0,15,15,Maritza,BUL,Outside Hitter
Silvia Andreeva,18/08/1995,182,63,292,284,0,0,0,0,Maritza,BUL,Libero
Polina Neykova,07/10/1998,182,73,287,280,0,0,0,0,CSKA,BUL,Setter
Annerys Victoria Vargas Valdez,07/08/1981,196,70,327,320,45,11,220,276,Seleccion Nacional,DOM,Middle blocker
Yaneirys Rodriguez Duran,26/06/2000,171,56,280,251,0,0,18,18,Bonao,DOM,Libero
Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315,23,1,116,140,Puerto Plata,DOM,Universal
Vielka Michelle Peralta Luna,13/04/1999,186,56,310,305,16,0,32,48,Deportivo Nacional,DOM,Outside Hitter
Brenda Castillo,05/06/1992,167,55,245,230,25,6,130,161,San Cristobal,DOM,Libero
Camil Inmaculada Dominguez Martinez,07/12/1991,176,75,285,270,15,0,11,26,Mirador,DOM,Setter
Niverka Dharlenis Marte Frica,19/10/1990,178,71,295,283,30,6,69,105,Deportivo Nacional,DOM,Setter
Candida Estefany Arias Perez,11/03/1992,194,68,320,315,44,6,84,134,San Cristobal,DOM,Middle blocker
Angelica Maria Hinojosa Diaz,10/01/1997,186,72,305,279,8,0,6,14,Cien Fuego,DOM,Middle blocker
Natalia Martinez,25/11/2000,186,71,310,300,32,0,40,72,Mirador,DOM,Outside Hitter
Marifranchi Rodriguez,29/08/1990,190,68,310,300,15,0,26,41,Mirador,DOM,Middle blocker
Yokaty Perez Flores,06/08/1998,178,79,291,257,32,0,40,72,Los Cachorros,DOM,Setter
Hennesys Nathaly Lalane Tejeda,10/04/2000,185,74,275,263,8,0,5,13,Deportivo Nacional,DOM,Setter
"Prisilla Rivera Brens
c",29/12/1984,186,67,309,305,20,11,125,156,San Pedro,DOM,Outside Hitter
Madeline Jazmin Guillen Paredes,04/06/2001,186,74,273,242,8,0,10,18,Malanga,DOM,Outside Hitter
Yonkaira Paola Peña Isabel,10/05/1993,190,70,320,310,31,6,125,162,Deportivo Nacional,DOM,Outside Hitter
Gina Altagracia Mambru Casilla,21/01/1986,182,65,330,315,9,6,183,198,Los Cachorros,DOM,Opposite spiker
Bethania De La Cruz De Peña,13/05/1987,188,70,330,320,35,6,194,235,Deportivo Nacional,DOM,Outside Hitter
Ana Yorkira Binet Stephens,09/02/1992,174,58,280,260,31,0,51,82,Samana,DOM,Libero
Brayelin Elizabeth Martinez,11/09/1996,201,83,330,320,31,0,93,124,Deportivo Nacional,DOM,Outside Hitter
Jineiry Martinez,03/12/1997,192,68,305,280,6,0,10,16,Mirador,DOM,Middle blocker
Erasma Moreno Martinez,25/11/1991,186,75,304,289,8,0,20,28,Monte Plata,DOM,Outside Hitter
Gaila Ceneida Gonzalez Lopez,25/06/1997,190,73,304,276,8,0,40,48,Mirador,DOM,Opposite spiker
Marianne Fersola Norberto,16/01/1992,191,60,315,310,45,0,60,105,Mirador,DOM,Middle blocker
Larysmer Martinez Caro,18/10/1996,174,68,288,258,8,0,40,48,Deportivo Nacional,DOM,Outside Hitter
