number,date,teams,sets,set1_point,set2_point,set3_point,set4_point,set5_point,pionts,time,audience
3,21/05/2019,BEL-USA,0-3,23-25,8-25,22-25,-,-,53-75,01:20,650
7,21/05/2019,KOR-TUR,0-3,15-25,26-28,19-25,-,-,60-78,01:25,450
5,21/05/2019,DOM-RUS,3-1,25-21,22-25,25-18,28-26,-,100-90,02:12,1542
1,21/05/2019,THA-GER,3-0,26-24,25-19,25-22,-,-,76-65,01:21,652
8,21/05/2019,SRB-NED,3-0,25-15,25-22,25-19,-,-,75-56,01:18,4165
6,21/05/2019,BRA-CHN,3-0,25-15,25-21,25-21,-,-,75-57,01:26,5982
4,21/05/2019,BUL-JPN,1-3,23-25,25-21,19-25,23-25,-,90-96,02:02,1500
2,21/05/2019,POL-ITA,2-3,15-25,22-25,25-18,25-21,15-17,102-106,02:06,1490
15,22/05/2019,SRB-KOR,3-1,15-25,25-18,25-17,25-14,-,90-74,01:38,1650
13,22/05/2019,CHN-RUS,1-3,22-25,25-16,16-25,23-25,-,86-91,01:56,1678
11,22/05/2019,JPN-USA,1-3,21-25,26-24,21-25,20-25,-,88-99,02:01,750
9,22/05/2019,THA-ITA,0-3,13-25,17-25,24-26,-,-,54-76,01:14,687
16,22/05/2019,NED-TUR,1-3,22-25,14-25,25-21,15-25,-,76-96,01:46,200
14,22/05/2019,BRA-DOM,1-3,22-25,20-25,25-22,26-28,-,93-100,02:13,4562
12,22/05/2019,BUL-BEL,2-3,25-19,25-15,22-25,16-25,13-15,101-99,02:13,1500
10,22/05/2019,POL-GER,3-1,25-21,23-25,25-23,26-24,-,99-93,02:01,1771
21,23/05/2019,CHN-DOM,3-1,16-25,25-23,25-23,25-23,-,91-94,01:59,2653
19,23/05/2019,BEL-JPN,3-1,22-25,25-20,25-23,25-18,-,97-86,01:54,600
23,23/05/2019,NED-KOR,3-0,25-18,25-21,25-18,-,-,75-57,01:22,350
17,23/05/2019,ITA-GER,3-0,25-19,26-24,27-25,-,-,78-68,01:32,778
24,23/05/2019,TUR-SRB,3-0,25-19,25-23,25-20,-,-,75-62,01:29,5237
